"Path","Filename","UTFCodes","Characters"
"glb_flat/emoji_u1f232.glb","emoji_u1f232.glb","1f232","🈲"
"glb_flat/emoji_u1f233.glb","emoji_u1f233.glb","1f233","🈳"
"glb_flat/emoji_u1f234.glb","emoji_u1f234.glb","1f234","🈴"
"glb_flat/emoji_u1f235.glb","emoji_u1f235.glb","1f235","🈵"
"glb_flat/emoji_u1f236.glb","emoji_u1f236.glb","1f236","🈶"
"glb_flat/emoji_u1f237.glb","emoji_u1f237.glb","1f237","🈷"
"glb_flat/emoji_u1f238.glb","emoji_u1f238.glb","1f238","🈸"
"glb_flat/emoji_u1f239.glb","emoji_u1f239.glb","1f239","🈹"
"glb_flat/emoji_u1f23a.glb","emoji_u1f23a.glb","1f23a","🈺"
"glb_flat/emoji_u1f250.glb","emoji_u1f250.glb","1f250","🉐"
"glb_flat/emoji_u1f251.glb","emoji_u1f251.glb","1f251","🉑"
"glb_flat/emoji_u1f300.glb","emoji_u1f300.glb","1f300","🌀"
"glb_flat/emoji_u1f301.glb","emoji_u1f301.glb","1f301","🌁"
"glb_flat/emoji_u1f302.glb","emoji_u1f302.glb","1f302","🌂"
"glb_flat/emoji_u1f303.glb","emoji_u1f303.glb","1f303","🌃"
"glb_flat/emoji_u1f304.glb","emoji_u1f304.glb","1f304","🌄"
"glb_flat/emoji_u1f305.glb","emoji_u1f305.glb","1f305","🌅"
"glb_flat/emoji_u1f306.glb","emoji_u1f306.glb","1f306","🌆"
"glb_flat/emoji_u1f307.glb","emoji_u1f307.glb","1f307","🌇"
"glb_flat/emoji_u1f308.glb","emoji_u1f308.glb","1f308","🌈"
"glb_flat/emoji_u1f309.glb","emoji_u1f309.glb","1f309","🌉"
"glb_flat/emoji_u1f30a.glb","emoji_u1f30a.glb","1f30a","🌊"
"glb_flat/emoji_u1f30b.glb","emoji_u1f30b.glb","1f30b","🌋"
"glb_flat/emoji_u1f30c.glb","emoji_u1f30c.glb","1f30c","🌌"
"glb_flat/emoji_u1f30d.glb","emoji_u1f30d.glb","1f30d","🌍"
"glb_flat/emoji_u1f30e.glb","emoji_u1f30e.glb","1f30e","🌎"
"glb_flat/emoji_u1f30f.glb","emoji_u1f30f.glb","1f30f","🌏"
"glb_flat/emoji_u1f310.glb","emoji_u1f310.glb","1f310","🌐"
"glb_flat/emoji_u1f311.glb","emoji_u1f311.glb","1f311","🌑"
"glb_flat/emoji_u1f312.glb","emoji_u1f312.glb","1f312","🌒"
"glb_flat/emoji_u1f313.glb","emoji_u1f313.glb","1f313","🌓"
"glb_flat/emoji_u1f314.glb","emoji_u1f314.glb","1f314","🌔"
"glb_flat/emoji_u1f315.glb","emoji_u1f315.glb","1f315","🌕"
"glb_flat/emoji_u1f316.glb","emoji_u1f316.glb","1f316","🌖"
