"Path","Filename","UTFCodes","Characters"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f91d_200d_1f9d1_1f3fd.svg","emoji_u1f9d1_1f3fc_200d_1f91d_200d_1f9d1_1f3fd.svg","1f9d1;1f3fc;1f91d;1f9d1;1f3fd","🧑🏼🤝🧑🏽"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f91d_200d_1f9d1_1f3fe.svg","emoji_u1f9d1_1f3fc_200d_1f91d_200d_1f9d1_1f3fe.svg","1f9d1;1f3fc;1f91d;1f9d1;1f3fe","🧑🏼🤝🧑🏾"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f91d_200d_1f9d1_1f3ff.svg","emoji_u1f9d1_1f3fc_200d_1f91d_200d_1f9d1_1f3ff.svg","1f9d1;1f3fc;1f91d;1f9d1;1f3ff","🧑🏼🤝🧑🏿"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9af_200d_27a1.svg","emoji_u1f9d1_1f3fc_200d_1f9af_200d_27a1.svg","1f9d1;1f3fc;1f9af","🧑🏼🦯"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9af.svg","emoji_u1f9d1_1f3fc_200d_1f9af.svg","1f9d1;1f3fc;1f9af","🧑🏼🦯"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9b0.svg","emoji_u1f9d1_1f3fc_200d_1f9b0.svg","1f9d1;1f3fc;1f9b0","🧑🏼🦰"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9b1.svg","emoji_u1f9d1_1f3fc_200d_1f9b1.svg","1f9d1;1f3fc;1f9b1","🧑🏼🦱"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9b2.svg","emoji_u1f9d1_1f3fc_200d_1f9b2.svg","1f9d1;1f3fc;1f9b2","🧑🏼🦲"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9b3.svg","emoji_u1f9d1_1f3fc_200d_1f9b3.svg","1f9d1;1f3fc;1f9b3","🧑🏼🦳"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9bc_200d_27a1.svg","emoji_u1f9d1_1f3fc_200d_1f9bc_200d_27a1.svg","1f9d1;1f3fc;1f9bc","🧑🏼🦼"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9bc.svg","emoji_u1f9d1_1f3fc_200d_1f9bc.svg","1f9d1;1f3fc;1f9bc","🧑🏼🦼"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9bd_200d_27a1.svg","emoji_u1f9d1_1f3fc_200d_1f9bd_200d_27a1.svg","1f9d1;1f3fc;1f9bd","🧑🏼🦽"
"svg_flat/emoji_u1f9d1_1f3fc_200d_1f9bd.svg","emoji_u1f9d1_1f3fc_200d_1f9bd.svg","1f9d1;1f3fc;1f9bd","🧑🏼🦽"
"svg_flat/emoji_u1f9d1_1f3fc_200d_2695.svg","emoji_u1f9d1_1f3fc_200d_2695.svg","1f9d1;1f3fc;2695","🧑🏼⚕"
"svg_flat/emoji_u1f9d1_1f3fc_200d_2696.svg","emoji_u1f9d1_1f3fc_200d_2696.svg","1f9d1;1f3fc;2696","🧑🏼⚖"
